"","Total Cmpd","Hits","Statistic Q","Expected Q","Raw p","Holm p","FDR"
"Pyrimidine metabolism",39,8,61.256,20,2.6822e-05,0.0014484,0.0014484
"Tryptophan metabolism",41,3,73.836,20,0.0010899,0.057765,0.016433
"Glutathione metabolism",28,7,67.67,20,0.0022254,0.11572,0.016433
"beta-Alanine metabolism",21,3,86.375,20,0.0022773,0.11614,0.016433
"Pantothenate and CoA biosynthesis",20,4,88.288,20,0.0027162,0.13581,0.016433
"Porphyrin metabolism",31,2,87.84,20,0.0027934,0.13688,0.016433
"Histidine metabolism",16,4,87.075,20,0.0028558,0.13708,0.016433
"Propanoate metabolism",21,1,91.309,20,0.0029187,0.13718,0.016433
"Butanoate metabolism",15,4,89.113,20,0.0034439,0.15842,0.016433
"Phenylalanine metabolism",8,2,89.559,20,0.0042138,0.18962,0.016433
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,2,89.559,20,0.0042138,0.18962,0.016433
"Primary bile acid biosynthesis",46,2,85.685,20,0.0044166,0.18991,0.016433
"Alanine, aspartate and glutamate metabolism",28,13,60.579,20,0.0045101,0.18991,0.016433
"Arginine biosynthesis",14,9,69.958,20,0.0049496,0.20293,0.016433
"Ubiquinone and other terpenoid-quinone biosynthesis",18,1,88.735,20,0.0049496,0.20293,0.016433
"Purine metabolism",70,10,71.515,20,0.005124,0.20293,0.016433
"Neomycin, kanamycin and gentamicin biosynthesis",2,1,88.233,20,0.0054102,0.20559,0.016433
"Lipoic acid metabolism",28,3,83.155,20,0.0056365,0.20855,0.016433
"Nitrogen metabolism",6,2,87.36,20,0.0059699,0.21492,0.016433
"Valine, leucine and isoleucine biosynthesis",8,4,85.9,20,0.0060865,0.21492,0.016433
"Valine, leucine and isoleucine degradation",39,4,84.271,20,0.0070153,0.23852,0.017649
"Biotin metabolism",10,1,86.38,20,0.0072987,0.24086,0.017649
"Lysine degradation",30,3,80.471,20,0.0075173,0.24086,0.017649
"Glyoxylate and dicarboxylate metabolism",31,8,69.534,20,0.0084776,0.26281,0.019075
"Selenocompound metabolism",20,1,84.326,20,0.0097411,0.29223,0.019925
"Folate biosynthesis",26,2,74.478,20,0.010205,0.29595,0.019925
"Glycine, serine and threonine metabolism",33,8,74.445,20,0.01037,0.29595,0.019925
"D-Amino acid metabolism",15,1,83.596,20,0.010701,0.29595,0.019925
"Sphingolipid metabolism",32,1,83.596,20,0.010701,0.29595,0.019925
"Taurine and hypotaurine metabolism",8,2,80.861,20,0.012142,0.30356,0.021856
"Arginine and proline metabolism",36,7,74.725,20,0.012576,0.30356,0.021906
"One carbon pool by folate",9,1,81.774,20,0.013303,0.30596,0.022448
"Citrate cycle (TCA cycle)",20,7,60.469,20,0.018134,0.39895,0.029674
"Cysteine and methionine metabolism",33,4,74.854,20,0.023744,0.49862,0.037711
"Thiamine metabolism",7,1,75.539,20,0.024569,0.49862,0.037906
"Nicotinate and nicotinamide metabolism",15,7,55.785,20,0.025594,0.49862,0.038391
"Vitamin B6 metabolism",9,2,52.647,20,0.033196,0.59752,0.048448
"Biosynthesis of unsaturated fatty acids",36,3,54.13,20,0.044824,0.762,0.063697
"Tyrosine metabolism",42,4,48.779,20,0.052178,0.83485,0.072246
"Starch and sucrose metabolism",18,3,41.599,20,0.060754,0.91131,0.082018
"Galactose metabolism",27,3,42.131,20,0.064019,0.91131,0.084318
"Linoleic acid metabolism",5,1,58.343,20,0.077082,1,0.099105
"Pyruvate metabolism",23,3,36.61,20,0.16124,1,0.20248
"Pentose phosphate pathway",23,5,27.178,20,0.28524,1,0.34357
"Ascorbate and aldarate metabolism",9,2,26.615,20,0.28631,1,0.34357
"Riboflavin metabolism",4,1,18.876,20,0.3893,1,0.45701
"Fatty acid biosynthesis",47,1,10.329,20,0.53452,1,0.60187
"Inositol phosphate metabolism",30,3,16.911,20,0.535,1,0.60187
"Glycerolipid metabolism",16,2,12.202,20,0.5782,1,0.62446
"Glycerophospholipid metabolism",36,2,12.202,20,0.5782,1,0.62446
"Glycolysis / Gluconeogenesis",26,3,13.155,20,0.63575,1,0.67315
"Amino sugar and nucleotide sugar metabolism",42,2,10.314,20,0.68907,1,0.70676
"Fructose and mannose metabolism",20,2,10.391,20,0.69367,1,0.70676
"Pentose and glucuronate interconversions",19,1,2.0044,20,0.78905,1,0.78905
