compound	D1_Cell_1	D1_Cell_2	D1_Cell_3	D2_Cell_1	D2_Cell_2	D2_Cell_3	D3_Cell_1	D3_Cell_2	D3_Cell_3	DT_Cell_1	DT_Cell_2	DT_Cell_3	D_WT_Cell_1	D_WT_Cell_2	D_WT_Cell_3	D1_Media_1	D1_Media_2	D1_Media_3	D2_Media_1	D2_Media_2	D2_Media_3	D3_Media_1	D3_Media_2	D3_Media_3	DT_Media_1	DT_Media_2	DT_Media_3	D_WT_Media_1	D_WT_Media_2	D_WT_Media_3
malate	1904.193115	2140.868952	2044.126716	3396.332097	2132.176661	2869.442159	3453.218669	3383.327117	4777.280363	1406.643439	1902.787742	2154.289321	1780.02496	2033.373328	2271.991352	322.3529777	335.265627	407.6728	217.3704903	194.1370473	211.3290422	180.6810866	130.8602383	163.4693157	141.4175523	142.3539501	90.1579621	175.1688875	222.0447757	250.5740184
m-Coumaric acid	40.09812303	29.15442717	21.21325723	20.09041882	18.83002677	23.03959347	14.2276147	14.28413406	21.29543475	34.84578948	34.99038265	30.2195875	13.17969645	15.8337216	25.68915741	84.16122448	99.50226066	108.8305402	65.83307527	50.31549066	54.73772295	46.18030835	35.94825662	45.68570727	41.69568129	41.43522562	36.0774354	58.99214542	65.77661464	79.7094323
methionine	155.221143	132.0605979	94.02956131	100.8099958	83.35463168	110.8405455	90.4035288	77.57667214	110.0941151	150.3824374	186.9479502	185.8095605	101.7782876	82.71521435	124.0731294	610.3763195	490.5471611	659.630728	309.2103577	277.1087197	336.6087179	263.8835051	230.099462	229.1420261	232.4725164	296.7603193	190.0213984	283.8325668	304.2523238	438.0830105
Methionine sulfoxide	0	0	4.341690812	3.714292586	0	0	2.55329977	3.297694429	0	0	7.054348319	3.461502301	4.08718509	0	5.559862902	24.45386259	22.72165076	31.83354912	10.08789231	10.41964025	10.20094985	7.472439694	7.072716751	6.34847358	9.733366424	7.079437652	6.107132426	18.66306804	9.280323732	10.75816417
methylnicotinamide	43.80323019	26.92477823	31.35835841	5.772716713	2.217592743	3.042553533	15.27315943	16.55494941	15.25526689	43.03428566	44.16116781	42.66556186	11.11093872	16.5184719	13.29219998	-1.31100719	-0.065534965	-1.33540821	0.506045897	1.216464759	-0.206307184	3.817190997	-0.231131721	-0.750507498	0.267843762	3.859897307	3.719937873	-0.965523704	0.058902577	-0.716684609
Methyloxovaleric acid (Ketoleucine)	273.3692441	232.2748964	203.9287009	158.6863237	168.7758688	129.5344648	158.6328896	115.6014127	222.9297951	315.7698959	374.1557819	545.0792318	264.4211838	158.540709	216.1863411	1410.435462	2435.09247	1419.202824	1483.058273	1158.195878	1377.434826	677.8152948	942.3145152	1146.32497	1701.14444	1755.309089	1120.483476	1209.760056	1204.472142	1559.479265
Methylsuccinic acid	194.8537281	117.507713	55.85325514	19.83774299	37.17982289	34.07147227	50.49948247	35.81801368	77.62614172	47.07505048	89.72761394	121.445765	66.34348081	26.98415511	138.1109497	1255.227634	1158.409519	1374.483336	624.5361101	564.4377057	704.0888608	626.7623194	495.7026501	489.7736649	569.7093978	595.8795321	434.3822605	708.6937782	677.8938283	893.2795296
myo-inositol	4841.328905	2947.099498	1455.897905	183.1733169	1170.138614	747.7002608	1229.574261	871.0605438	2190.060397	1967.791935	2548.574037	4321.978155	1890.906465	454.5406187	4064.346435	57193.44596	47861.76932	62681.1514	28941.35	27031.99956	32219.77705	25945.06435	20863.92475	22435.47872	24464.12147	25948.84892	18426.29961	30343.27042	30467.51176	38456.95121
Myristic acid	98.96561921	51.53362983	108.2540458	119.2295457	70.54412318	104.2964411	39.10433743	99.10112572	75.79797691	123.0700943	75.40427944	58.10600923	81.95585264	70.39852235	35.90279457	327.6501569	278.1314204	779.8035536	225.9398482	247.6918286	219.380983	151.8570203	178.9322791	199.3638022	206.7533708	171.0189812	180.3140689	294.3256709	373.4982313	332.040976
NaAD	0	0	2.62698484	0	1.29829622	4.493503566	2.186411126	2.791830161	3.651061902	4.53603268	3.086208463	0	1.078037811	3.814929859	4.035815834	25.06880985	15.4637608	16.325354	13.47668904	10.52632496	11.99307352	6.343357829	3.117824883	7.239006851	6.086833633	5.562553151	2.761710519	7.121156221	3.516402313	6.839394045
N-Acetylaspartic acid	11.64837933	6.80567294	7.186287627	10.64362542	11.57389716	13.79000041	12.09154919	13.91094456	11.08530989	12.07744013	15.08271415	14.81075511	15.32028819	17.71499715	25.20575938	8.562990761	15.04718861	23.64495511	8.470281023	8.477101822	7.693666529	7.306981041	4.686981151	5.488684682	8.268480645	3.939576616	2.459801209	9.376651368	7.467579667	6.565444228
N-Acetylcarnitine	1895.804666	1385.559847	1211.017959	793.9746322	738.5819026	987.094661	1220.586654	1282.498078	1485.699868	1347.7262	1433.978786	1460.427417	700.1589968	793.88558	915.8358171	428.5784033	282.0411006	370.7506954	190.3600364	137.3121951	174.4307274	149.0611398	126.4415765	127.4177073	153.3036068	172.8652252	122.8440449	218.4194219	199.1316104	282.1498392
N-Acetyl-L-alanine	120.8824083	90.70365484	78.39578235	70.34310705	58.67778937	67.97066503	64.37781405	65.51762207	74.45578389	118.7261686	134.2874816	145.2064438	62.9380828	89.3332545	106.5690851	270.7417926	189.0244824	252.2160979	131.4364092	110.4612159	120.6152236	94.65251842	84.97138077	88.34237547	122.1136736	119.0278187	82.48040987	169.6199499	139.6549996	207.5338499
N-acetyl-L-glutamine	27.42962144	14.72466726	13.92416546	17.53184978	14.60599434	23.88973532	23.98680037	21.71816091	25.19190092	10.42891601	25.78444486	28.76652673	30.18468635	25.17937764	37.91062291	4.12631607	-4.339393814	1.715888152	2.349629863	-2.516304968	-2.923717123	-2.400718571	0.231002597	-2.419419334	-2.699382111	1.264447217	0.312840422	1.952085622	-3.169197026	-3.872549715
N-acetyl-L-ornithine	6.969254302	7.077604392	5.570702863	4.940505515	5.575297458	6.497374213	9.593228075	7.253533206	6.51761552	13.70710352	16.05959902	15.77685487	5.324964386	4.689247347	8.230145441	64.25144707	53.38497111	46.90415593	34.17349515	36.60934355	48.2171428	16.84684609	16.62474086	14.446982	29.73995432	25.10786001	25.39142033	33.85967139	47.14326421	40.50103536
N-Acetylserine	12085.54646	9553.181667	9436.396899	9005.159486	7528.291086	8283.549867	7949.415365	7108.443948	8551.060896	11413.25145	11856.7956	11226.39713	8782.118883	11327.57671	12810.17248	1501.723617	878.1378622	1267.948953	625.2909888	484.2583638	603.4137907	494.6048576	364.401626	418.5510206	1111.546107	1149.469533	868.2427359	605.8236135	454.0957757	627.3992742
NAD+	358.7763415	305.5263239	287.3938511	282.3119727	233.0711913	256.4453851	197.8847475	233.7622326	222.0206332	239.7393479	275.7265257	213.4139294	231.7821012	328.8811913	327.0836647	2.785349342	0.289796816	0.451501652	0.424324816	0.805614047	-1.444671119	0.382569677	0.147201208	-1.195486803	-1.333822394	0.052329179	0.56345373	-1.549256572	0.505094305	0.998069551
NADH	20.81400065	4.710615462	0.386845524	7.885489326	6.553091273	7.971327642	12.74421278	8.736994268	7.724882877	4.712511424	2.846563981	12.26064687	3.911059864	6.945046687	42.90365344	1.706695014	1.805604227	2.040441908	1.083250625	1.257006943	1.134371225	1.791296623	1.524823741	1.270575863	0.736423412	0.961059288	1.519073663	1.547456843	1.9054576	-0.139351082
NADP+	17.3826349	6.744432534	-0.857898608	2.925396537	10.61189188	0.175230898	12.82166758	13.78457534	16.3143435	12.02417059	16.20098154	16.77810468	8.263363688	0.0824887	31.86755362	116.2597625	68.74918403	96.61053208	45.74704499	56.37714492	15.00139684	17.88008358	13.15828154	10.85247633	25.15123983	44.92611674	44.86454571	31.40707486	24.17790837	31.53029027
NADP+	22.29167164	15.16812338	17.14760535	22.32245066	15.48641719	15.05307491	17.10263699	19.99211914	21.84842641	35.94641736	37.441831	29.17443774	28.33692297	33.86898191	17.12638599	1.23300143	-0.459431881	0.113307363	-1.667645617	0.133978472	-1.94617408	-0.082016552	0.502851378	-1.61048795	-0.608619248	-0.305924432	0.226996088	0.121885111	-2.109577926	0.097499767
NADPH	10.0554196	16.47813554	9.230185136	10.69147787	6.939188342	12.01182346	12.94407467	9.684419118	12.90186176	5.831225304	8.817108278	9.353522463	4.907365144	9.789307238	19.51099114	0	0	2.426469	1.006438758	1.333957404	0	0	1.298943057	1.036449322	0	0	1.710368135	1.257824556	0.658027727	1.095109413
NaMN	21.19371005	7.239165688	7.499292397	4.969216988	8.525762404	5.736265635	2.241769923	1.715324485	4.256946337	18.20081977	22.11263484	17.5778309	3.48868203	4.684856314	9.163138496	3.653510176	2.549078216	3.018377208	1.871254089	1.637077471	2.480373691	1.464323334	1.629457114	2.243573013	2.118386088	1.528298768	1.309627527	1.911312446	2.296824138	0
N-carbamoyl-L-aspartate	18.1503758	10.33485532	0	21.02577313	7.380022341	14.18450141	22.93431798	19.8925216	23.76760319	31.5515463	31.12284826	41.90211389	7.648104528	0	8.15648406	0	4.41454859	0	3.500617743	0	0	0	0	0	0	0	0	4.14564526	0	0
nicotinamide	276.0525091	205.8691156	123.6135137	164.7814866	179.2436218	149.4562156	262.5193503	261.1984287	401.4038973	430.2496749	586.8470415	664.3845044	211.6377939	207.5714903	499.9039949	1074.833267	803.1536662	944.3192976	571.6064862	401.6325949	517.0484531	355.4982749	289.1285667	296.1143806	351.670417	320.0968173	285.5476901	613.0288605	515.0798909	730.7667337
nicotinamide mononucleotide	4.848562858	2.912569658	6.012747078	1.814773317	2.214679085	1.726730365	1.99700326	1.390319713	3.564096511	4.493769681	6.788180829	2.647134406	3.140775752	4.811255348	5.714774089	19.48435197	12.75775941	14.90382856	9.435462536	5.794743238	6.491818676	7.764534565	4.634126448	7.132024096	4.731265296	6.654462958	4.588861046	2.739249954	6.329674714	10.31213339
ornithine	69.94292708	50.68785945	38.41597034	28.3988445	26.52288137	36.02566137	37.8058529	27.73186827	57.95388536	29.23736658	34.17677144	75.72851729	52.64657941	28.94992669	91.61992567	566.340792	495.8323026	610.7231415	291.1672056	255.7763586	314.1749962	254.6875774	195.6168903	219.4517541	252.046002	245.0482273	167.0700231	303.6956199	311.4115902	381.0094675
orotate	2.923828984	4.066861124	5.087373299	4.530660406	2.394329772	8.184000545	23.67964221	37.06634018	36.77213774	34.84773966	40.59729705	50.06850749	3.036639695	3.113932733	-2.348655948	0	0	0	6.939200854	0	4.619255463	3.482234637	0	0	5.681942345	7.648937929	3.993566689	0	4.545660553	7.467470375
pantothenate	2831.101218	2609.367119	1756.714996	1816.083235	1451.313232	1559.43995	1484.185833	1480.125233	2404.386724	2452.467991	3102.839768	4397.991834	1976.530724	1111.096126	2591.06712	8464.814354	9040.796417	10735.39871	5334.857438	4333.693058	5108.579992	3747.230118	3338.618086	3488.064048	3539.338865	3907.420914	2373.250314	4567.014252	4518.860759	5626.103033
Phenylacetylglycine	6.136101743	6.448666282	13.70314335	3.34310135	6.935079337	4.337745983	5.495702981	4.281510689	15.89596621	7.517444173	14.12885082	20.53667752	8.396016144	6.581249566	9.353500659	90.32023972	71.08087169	86.96813003	53.66317972	45.58211592	46.36188277	44.21623526	32.69597075	41.80698376	29.83356339	33.96808885	34.25344386	48.65648661	62.65001064	59.83442669
phenylalanine	1171.742441	1032.878325	763.1947948	723.0862056	546.5936409	660.0219646	644.79401	612.078225	835.3383342	1166.919906	1352.74052	1446.171591	837.8413861	649.2939297	964.5422397	4833.175306	4431.745549	5284.025685	2479.307979	2304.972606	2720.77075	2113.463438	1836.651121	1891.77679	2124.797294	2154.064603	1515.495329	2456.325319	2519.467537	3168.35481
phosphoenolpyruvate	72.06433977	24.99811039	13.06381155	28.33266927	21.79157358	22.05964882	34.08524281	28.25910253	34.24587932	7.864604524	6.987572096	28.6506469	33.15908024	17.42575351	164.7373543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
proline	163.4565207	154.6234789	153.7276736	276.8662891	171.2798966	244.0299461	166.2401624	172.7803231	186.5362393	190.7654278	250.5754073	244.7124879	176.6799464	202.6099676	186.9287842	82.03265479	120.4720751	111.0678605	43.11684602	45.11961625	82.79445829	19.68649102	41.88029314	45.9828071	39.20643872	37.23494051	39.9132531	33.01150244	40.56900893	93.78849066
purine	16.56584912	8.011241437	16.8982564	4.033540355	6.378022749	9.957663625	8.350720074	3.918608062	5.373225674	17.13975669	2.580506774	17.61674165	15.64126059	8.202638666	20.20038808	154.3715127	117.886579	128.1699065	62.55590121	76.68758399	67.29763486	38.351339	40.2314244	44.21816628	60.01682505	50.43501732	43.72770999	49.38221191	60.13984501	70.41422454
pyridoxine	174.7378957	135.8786323	78.47107809	80.50731535	84.1470471	76.44002342	90.97160985	97.35285313	182.4101481	131.6179863	162.2183602	218.0575463	71.26009283	34.55385767	175.6974932	1560.863966	1372.242979	1584.683955	755.560046	705.7178052	892.5981294	633.4957548	574.8756376	657.2104893	729.18944	672.5124995	579.1969894	801.7167555	849.4109193	1072.270629
Pyrrolidonecarboxylic acid	5166.738144	4311.339181	3284.631234	3975.79965	3240.75645	3417.259578	3059.530641	2308.170033	4475.580587	4950.209325	6558.399653	6829.692061	3394.703087	2711.320947	3617.539917	28106.68137	26473.47973	32036.37421	16101.0078	14215.16664	16311.37767	11767.64768	11518.40925	12199.8865	13035.58903	13001.73014	9593.556009	14446.00418	15007.10604	19806.60201
pyruvate	154.6795411	301.1346224	142.4870102	155.8210774	160.1681754	123.0068245	194.8929015	101.6507841	291.8672992	237.2408085	335.4138272	324.7790524	235.9636169	158.9853325	95.50930023	2679.901311	2345.967839	2848.567028	1532.911207	1473.619851	1783.679829	1238.6862	1112.700817	1167.151888	910.644639	918.8003053	708.6996865	1706.173723	1911.36078	2401.420185
riboflavin	2.611362099	2.910250596	2.866421668	1.454317891	1.528500122	1.625978386	1.609016499	1.553489239	2.118296877	4.245962107	3.122050366	3.570963856	0	2.332893341	7.266798685	38.92243309	25.00704308	31.91439201	25.06526405	14.96828408	21.38713948	13.52289484	10.63154268	12.47915057	14.97547437	12.50286908	11.91797153	27.62447843	22.02799566	31.60134553
Ribose	157.3917115	87.11138539	42.65090124	11.17126691	36.3030608	26.50017224	32.86152829	23.39313418	57.54621114	53.45887385	66.59119648	99.4146339	37.74724168	10.70392814	106.2369957	1102.722712	972.8270392	1299.369466	552.515539	541.6701811	574.2618623	514.6604231	465.8316083	487.4912065	566.0279753	550.8359642	405.5263293	628.1020893	653.730473	938.5398107
ribose-phosphate	114.765059	113.5508355	80.58631559	112.8336314	50.58018531	88.00876386	117.0458645	136.513647	125.2621772	38.11537478	46.42825092	83.76895238	56.3199509	46.29149781	131.7620055	0	0	0	0	0	0	0	6.850795866	0	0	0	0	0	0	0
Ribothymidine	0.678639016	1.219396975	-1.733075224	0.559848915	0.42758557	0.305265188	0.483546023	-0.820280883	1.086444844	5.371408146	9.056035921	16.28480061	0.326185409	0.291878266	3.37309336	89.19265148	66.51738781	98.80956792	63.40658395	31.66210131	49.99080588	19.78513897	19.70189173	19.47339965	25.37206533	24.81346012	13.63756592	62.01134636	27.64738935	46.74922209
sarcosine	576.9936824	590.6320645	492.6022614	969.7537037	808.7998704	1186.805455	883.5188665	1025.984908	1104.418642	805.9483168	969.5178395	834.7295239	579.5436259	902.9777323	750.1260713	231.9119012	253.1692125	215.7210329	156.4481677	161.6184301	166.234632	88.87120681	106.20098	111.0755406	147.9659663	142.2343484	80.41964441	131.2688991	154.5860189	190.8347919
Sepiapterin	-6.331005181	-4.900606735	-5.18849512	-2.829294925	-2.841738179	-3.301840865	-2.711203017	-1.311597196	-2.732322345	-3.048492651	-3.146147154	1.086091287	-3.540874178	-3.579068634	-4.373385783	37.20675022	32.37186755	18.86031071	16.6713486	24.99082011	16.43773465	13.07964432	11.60931164	10.0060962	8.064859545	7.849211457	5.054536474	11.01825267	16.95948848	13.3568549
serine	490.7340697	539.977402	488.8637549	415.7906899	276.8418834	428.7211718	321.484856	324.4366918	435.7785725	325.3452436	424.768382	450.3679347	334.7074059	351.9280636	367.6591663	1055.75126	821.3792576	1090.365669	495.7956041	474.7768717	544.6528751	460.5170963	359.13518	388.0407262	343.1228723	368.8575214	268.2098924	474.241065	508.076318	653.5311281
sn-glycerol-3-phosphate	283.5484964	47.66762521	30.48113571	62.47184949	72.451623	41.95101781	54.92343439	30.03864462	77.11143686	43.45293513	52.45170338	137.4174745	34.62666634	24.18355398	746.113749	1.090527182	0.015889867	-4.438993283	-2.420590341	0.564253572	0.161110575	0.144170463	0.325090855	-2.337625893	0.168784848	1.547212265	-2.447666671	0.395630133	-3.06205581	0.529810056
Stearic acid	3569.878902	4126.321607	6625.926698	4666.139033	3560.410756	4790.012707	1561.659875	3537.119991	4217.923634	4134.853857	4322.622955	3696.733478	4457.000093	4443.008479	3319.469561	-1230.757571	-133.6740636	881.3796035	-120.1815616	-181.477028	-71.25664946	-254.5120924	-334.6063368	199.1284784	-707.5708206	-487.0082611	-223.6039327	-504.371201	-247.0701535	-627.0149473
succinate	868.7897068	444.9618386	284.2136517	259.3482248	294.8324528	373.9189815	353.1875322	375.9932692	464.2483408	270.7703006	295.8375557	420.5040346	272.567472	220.5660952	687.0760686	3533.953533	2951.702191	3961.542699	1703.581719	1704.574232	1657.05878	1314.21128	1422.210037	1272.031624	1620.948289	1589.746403	976.4318191	1615.674897	1895.071363	1896.897905
taurine	695.8307419	653.0587135	597.9201824	2255.698248	1513.801962	2152.028516	930.1900387	921.0390124	1195.629726	448.8463831	494.3766121	515.1119624	1150.181354	1447.738437	1386.834197	239.5272829	178.2904908	236.9624351	95.08471	93.40819692	107.1264954	92.27194759	88.57660521	89.98638532	108.7331866	98.65787235	65.1175408	108.3685858	116.5749751	139.3301567
Taurodeoxycholic acid	3.018978258	2.354749438	1.274707837	1.125524424	1.807289898	1.252571063	4.572945491	2.633933193	0.189087472	3.691814576	2.581306324	7.132225096	2.918881549	1.356045222	0.676021381	19.90544992	26.95849051	10.59660283	8.874175568	15.29043009	6.32075443	7.413897173	6.51231917	9.79198702	14.50358207	5.520425129	5.016327723	16.61150083	13.77542467	16.3011639
threonine	1289.546951	1090.782331	1089.870426	1058.587222	782.3839726	1020.234452	870.9588108	877.8395683	1132.846388	1169.346716	1370.122823	1490.407974	809.5566864	804.9052235	974.4525315	3164.355584	2782.803728	3408.522378	1634.238356	1446.146195	1674.40959	1376.778648	1118.175927	1206.182109	1364.405311	1389.896691	963.0762057	1495.294298	1569.359306	2013.59133
Tiglic acid	102.0344746	57.00944975	54.01201049	16.59669382	13.20432551	13.8382352	14.15377129	9.159638204	25.67478392	54.19957165	64.40257957	75.36563444	22.0950586	39.7460979	27.8405143	88.60788568	109.0829056	86.00483557	41.03925612	36.12353463	48.48027849	44.07482086	38.79827861	41.36157346	32.80720085	22.76479206	18.85431409	46.56743539	59.5703907	69.40358427
trans-Glutaconic acid	123.8286514	123.9981654	69.14631859	81.6497245	60.58685808	73.39790391	62.523033	57.25804178	79.76100799	65.59671642	75.54232591	97.7733875	53.05992757	43.1412136	97.21853553	40.58529841	26.90644046	23.56811343	16.12102059	17.10964855	18.99779558	22.34418845	7.990830484	11.76360163	12.13525122	15.69803693	9.969275049	24.48972246	20.58761123	28.56298604
trehalose	48.6470772	34.26722805	41.64372973	27.79121751	20.74280603	28.861941	27.59186976	26.22471297	25.17863582	28.49947385	25.3637712	42.61429093	14.17168858	7.068183811	22.32759998	92.03170607	90.39375949	76.06743425	58.3116613	51.9335422	51.57610153	41.06320727	36.22690593	38.96327293	49.50835202	43.96759396	28.55131418	45.3819103	53.82497435	59.75639622
trehalose-6-Phosphate	9.454564419	22.41244254	9.767531211	9.715833286	6.487845251	6.565834633	7.122562594	3.607161296	2.821730046	8.811274336	4.893246958	5.221812584	0	0	5.183124415	37.29995767	27.68135062	12.36150596	17.17476633	15.68972578	9.696726993	20.63467079	15.68717247	9.886806115	8.765057529	8.871091699	13.9131503	21.21700794	20.101022	12.18524802
tryptophan	463.0354227	338.215817	270.0480033	209.1017351	206.9825944	226.78825	239.9054481	206.7048429	282.5888199	559.8837046	585.1601561	614.6109865	293.9241451	276.7429384	441.5605788	1902.979365	1379.718346	1601.241107	914.2280221	720.4948836	923.032461	692.8205224	589.2842255	622.4603448	691.6473941	707.042424	585.8905911	1090.707222	910.1725974	1283.865437
tyrosine	1355.486118	1194.133289	972.0034874	856.0321489	657.0780416	875.2254441	747.019398	709.8884133	960.0512789	1417.205689	1554.899692	1705.11022	892.5919111	764.9499555	1129.480227	5317.508077	4813.472116	5676.309963	2886.274255	2539.745971	3048.043503	2402.223618	2108.678351	2239.554647	2291.512003	2453.915101	1727.254247	2772.342568	2821.192006	3604.637218
UDP	59.03937515	47.21970275	45.79008811	36.10013907	30.96237508	43.83694904	31.65539553	31.14248152	29.69097116	59.41322821	70.57860826	56.86941457	28.30452784	52.29576559	43.25663019	8.51949395	6.710934977	10.48111298	6.437122	5.909147903	6.180419249	8.817777254	4.232249934	4.831463849	3.335250574	1.589119721	1.457297834	3.534978513	9.903725023	2.848265604
UDP-D-glucose	607.8488441	519.1765785	400.7234939	814.1397802	556.5879618	849.875297	675.8778319	721.177799	790.4920872	744.7533906	800.5018418	718.8947542	497.3457407	640.024113	654.140425	0	5.965485491	0	0	0	0	0	0	0	2.246350542	0	0	3.368038112	0	0
UMP	66.70879496	49.3111528	34.15598632	26.53892128	54.55952025	32.38351493	33.22088528	42.57308572	66.32092815	98.47412406	115.8376687	99.17969019	28.94454879	54.63047807	73.1011403	0	0	0	0	0	5.302239301	0	0	0	0	0	0	2.915499299	3.384294936	3.593694249
Uric acid	94.18213513	74.98436781	46.12691834	40.14324992	45.44375451	40.63661246	49.48629769	42.05473948	73.3604318	49.59154227	59.52595774	90.38806704	59.03006386	33.42072013	87.26175506	578.8022953	525.9764108	790.0611437	341.1921608	304.2079326	353.9684981	271.876175	202.4565385	218.8374892	289.7773499	287.836733	176.5773332	335.317421	347.8375964	420.3362132
uridine	16.58704272	11.40377097	8.780502222	9.318434774	9.031194945	7.598238605	6.399476919	5.963327531	15.48319188	16.09680631	22.43526711	22.69278935	11.02501717	5.590726514	21.24138206	105.8784497	104.9770499	112.7592866	57.07201001	48.17880797	68.11927564	51.81640409	40.53615673	52.00113783	53.59653582	46.140661	37.54696806	64.13490274	61.66378453	62.20155547
Uridine triphosphate	119.5476554	102.2949262	104.7869406	125.3324692	95.36034793	132.4788994	103.3446573	94.05158628	111.4365236	87.69251771	85.71144593	89.72954271	50.92886198	93.69116701	89.73565836	-39.69405764	-30.95500677	-31.50844974	-20.98139184	-21.07366811	-24.48568241	-20.10564977	-18.2113719	-20.26226578	-18.81104192	-20.03165391	-17.7813602	-18.47391029	-18.69570311	-21.97515979
valine	626.4984346	495.1480936	385.1805609	359.9159582	292.9103598	372.9669881	327.0466094	289.3031852	438.5106315	488.6999907	518.0496656	681.3165974	401.355072	311.3952179	500.2394953	2590.683693	2271.613225	2710.137531	1340.413083	1277.498976	1554.517802	1128.521102	937.009332	1092.657937	1173.452265	1232.970305	846.5989322	1409.512376	1423.252435	1893.680413
xanthine	2.468222085	2.352902778	0	0	0	1.335180742	2.863356551	1.354294154	1.245913321	1.551121532	1.922339142	2.363126048	1.660095069	1.892598145	2.750229282	13.70271594	11.36151251	11.37511353	5.545677894	2.734754626	4.914798461	3.88675776	5.839110371	4.858616589	6.421731837	7.513620957	3.731169842	8.711806565	5.909578271	7.628130369
xanthosine	2.57951622	0	0	1.05915084	0	0	0	1.201798868	1.333213932	2.08525959	1.589946842	5.271554161	0	0	1.874570995	6.826003326	3.367706981	4.356513525	3.069499367	5.427970945	0	3.230767897	1.636601968	3.103218246	6.937116023	7.948410818	11.19391067	2.260646097	2.934276736	0
